,ID,Museum.specific.ID,Museum,Region,Site,Country.of.site,Specimen.collection.no.,Assemblage.layer.no.,Contextual.information,Preservation,Raw.material,Length..mm.,Width..mm.,Thickness..mm.,Site.1,Photograph.names,Edited.photo.name,Researcher.initials..photo.,Researcher.initials..measurements.,Supplementary.information,LT.notes,Assemblage_2,Min.age,Mid.age,Max.age,N,E
26,805,4,NMK,East,Kapthurin Formation,Kenya,1707/3346,GnJh-15 ,Paleosol lying immediately below base of K4,Complete,Basalt,26.9,18,5.3,Kapthurin Formation,"DSC_0159,DSC_0160",E_point_123,SM,CM,,NA,GnJh-15,396,431,465,0.52,35.9
27,807,6,NMK,East,Kapthurin Formation,Kenya,1340/3346,GnJh-15 ,Paleosol lying immediately below base of K4,Complete,Basalt,16.3,10.8,5.1,Kapthurin Formation,"DSC-0163,DCS_0164",E_point_125,SM,CM,,NA,GnJh-15,396,431,465,0.52,35.9
28,808,7,NMK,East,Kapthurin Formation,Kenya,1066/3346,GnJh-15 ,Paleosol lying immediately below base of K4,Complete,Basalt,22.5,19.3,4,Kapthurin Formation,"DSC-0165,DSC_0166",E_point_126,SM,CM,,NA,GnJh-15,396,431,465,0.52,35.9
29,641,17,NME,East,Goda Buticha ,Ethiopia,23,Ala IId- 80-70 cm,Excavated ,Complete,Chert,46,21,6.6,Goda Buticha ,"Image_7009,7010,7011,7012,7013",E_point_13,BH,YT,,NA,"Complex II, IId-f",33,41,48,9.54,41.63
30,854,53,NMK,East,Kapthurin Formation,Kenya,2546/4397,GnJh 78,10,Complete,Basalt,42.1,21.9,6.7,Kapthurin Formation,"DSC_0256,DSC_0257",E_point_137,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
31,857,56,NMK,East,Kapthurin Formation,Kenya,40/4397,GnJh 78,10,Complete,Basalt,65.7,41.3,8.7,Kapthurin Formation,DSC_0260,E_point_138,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
32,858,57,NMK,East,Kapthurin Formation,Kenya,54/4397,GnJh 78,8,Complete,Basalt,81.6,43,12.2,Kapthurin Formation,DSC_0261,E_point_139,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
33,642,18,NME,East,Goda Buticha ,Ethiopia,?,A1b ,Excavated ,Complete,Chert,44.3,30.2,9.5,Goda Buticha ,"Image_7042,7043,7044,7045,7046,7047",E_point_14,BH,YT,"Full info in the bag [ BC 814, A1b, light brown, x-86,y-75,z-68]",NA,,NA,NA,NA,9.54,41.63
34,860,59,NMK,East,Kapthurin Formation,Kenya,2485/4397,GnJh 78,10,Complete,Basalt,58.2,43.7,10.2,Kapthurin Formation,DSC_0263,E_point_140,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
35,862,61,NMK,East,Kapthurin Formation,Kenya,2456/4397,GnJh 78,10,Complete,Basalt,67.3,35.6,10.7,Kapthurin Formation,DSC_0265,E_point_141,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
36,864,63,NMK,East,Kapthurin Formation,Kenya,56/4397,GnJh 78,8,Complete,Basalt,NA,NA,NA,Kapthurin Formation,DSC_0267,E_point_142,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
37,873,72,NMK,East,Kapthurin Formation,Kenya,1888/4397,GnJh 78,10,Complete,Basalt,46.4,41.6,11.3,Kapthurin Formation,DSC_0276,E_point_143,SM,CM,weathered,NA,GnJh 78,NA,100,NA,0.52,35.9
38,878,77,NMK,East,Kapthurin Formation,Kenya,2374/4397,GnJh 78,10,Complete,Chert,38.7,31.4,14.1,Kapthurin Formation,"DSC_0293,DSC_0294",E_point_144,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
39,880,79,NMK,East,Kapthurin Formation,Kenya,497/4397,GnJh 78,11,Complete,Obsidian,32.8,25.8,8.1,Kapthurin Formation,"DSC_0297,DSC_0298",E_point_145,SM,CM,,NA,GnJh 78,NA,100,NA,0.52,35.9
40,643,19,NME,East,Goda Buticha ,Ethiopia,17,Bla IIc-130-120,Excavated ,Complete,Obsidian,30.3,15.2,8,Goda Buticha ,"Image_7005,7006,7007,7008",E_point_15,BH,YT,,NA,"Complex II, IIc-a",4,6,8,9.54,41.63
41,902,101,NMK,East,Prolonged Drift,Kenya,2212/3205,GrJi 11,,Complete,Obsidian,54.2,34.3,13.4,Prolonged Drift,DSC_0511,E_point_152,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
42,907,106,NMK,East,Prolonged Drift,Kenya,1613/3205,GrJi 11,,Complete,Obsidian,43.8,25.1,6.9,Prolonged Drift,DSC_0516,E_point_153,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
43,911,110,NMK,East,Prolonged Drift,Kenya,2123/3205,GrJi 11,,Complete,Obsidian,59.9,25.8,7.3,Prolonged Drift,DSC_0520,E_point_155,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
44,914,113,NMK,East,Prolonged Drift,Kenya,1654/3205,GrJi 11,,Complete,Obsidian,43.2,27.8,8,Prolonged Drift,DSC_0523,E_point_156,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
45,917,116,NMK,East,Prolonged Drift,Kenya,2257/3205,GrJi 11,,Complete,Obsidian,39.1,21.7,9.5,Prolonged Drift,DSC_0526,E_point_158,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
46,644,20,NME,East,Goda Buticha ,Ethiopia,?,A1b,Excavated ,Complete,Obsidian,52.6,29.2,8.6,Goda Buticha ,"Image_7054,7055,7056,7057,7058",E_point_16,BH,YT,"Full info in the bag [BC 375, A1b, light brown, x-55, y-73,z-131]",NA,,NA,NA,NA,9.54,41.63
47,919,118,NMK,East,Prolonged Drift,Kenya,1142/3205,GrJi 11,,Complete,Obsidian,33,19.7,6.5,Prolonged Drift,DSC_0528,E_point_160,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
48,920,119,NMK,East,Prolonged Drift,Kenya,1821/3205,GrJi 11,,Complete,Obsidian,43.4,31.8,8,Prolonged Drift,DSC_0529,E_point_161,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
49,921,120,NMK,East,Prolonged Drift,Kenya,1164/3205,GrJi 11,,Complete,Obsidian,40,22.8,9.3,Prolonged Drift,DSC_0530,E_point_162,SM,CM,,NA,GrJi 11,30,51,72,-0.48,36.1
50,922,121,NMK,East,Prospect Farm,Kenya,1900/3202,GsJi 8,64,Complete,Obsidian,53.4,31.3,10.4,Prospect Farm,"DSC_0336,DSC_0337",E_point_163,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
51,926,125,NMK,East,Prospect Farm,Kenya,108/3202,GsJi 8,64,Complete,Obsidian,35,21.1,5.8,Prospect Farm,DSC_0342,E_point_164,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
52,930,129,NMK,East,Prospect Farm,Kenya,1910/3202,GsJi 8,64,Complete,Basalt,45.1,28.6,11.8,Prospect Farm,DSC_0346,E_point_165,SM,CM,"Weathered,definitely lava probably basalt.",NA,GsJi 8,50,85,120,-0.59,36.18
53,931,130,NMK,East,Prospect Farm,Kenya,136/3202,GsJi 8,64,Complete,Obsidian,21.8,11.9,3.5,Prospect Farm,DSC_0347,E_point_166,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
